datetime,weekday,flow_usage,power_usage,idle_time
2026-01-01 00:00:00,4,0.966,30.426,0
2026-01-01 00:01:00,4,0.956,15.372,0
2026-01-01 00:02:00,4,0.986,15.35,0
2026-01-01 00:03:00,4,0.976,15.011,0
2026-01-01 00:04:00,4,0.98,15.018,0
2026-01-01 00:05:00,4,0.96,15.142,0
2026-01-01 00:06:00,4,0.992,15.49,0
2026-01-01 00:07:00,4,0.95,15.077,0
2026-01-01 00:08:00,4,0.975,15.272,0
2026-01-01 00:09:00,4,0.984,15.055,0
2026-01-01 00:10:00,4,0.97,15.45,0
2026-01-01 00:11:00,4,0.967,15.099,0
2026-01-01 00:12:00,4,0.986,15.182,0
2026-01-01 00:13:00,4,0.995,15.431,0
2026-01-01 00:14:00,4,0.954,15.452,0
2026-01-01 00:15:00,4,0.96,15.123,0
2026-01-01 00:16:00,4,0.986,15.195,0
2026-01-01 00:17:00,4,0.953,15.052,0
2026-01-01 00:18:00,4,0.989,15.494,0
2026-01-01 00:19:00,4,0.997,28.238,0
2026-01-01 00:20:00,4,0.967,15.195,0
2026-01-01 00:21:00,4,0.986,15.429,0
2026-01-01 00:22:00,4,0.979,15.29,0
2026-01-01 00:23:00,4,0.954,15.292,0
2026-01-01 00:24:00,4,0.957,15.047,0
2026-01-01 00:25:00,4,0.972,15.028,0
2026-01-01 00:26:00,4,0.951,15.31,0
2026-01-01 00:27:00,4,0.958,15.089,0
2026-01-01 00:28:00,4,0.964,15.219,0
2026-01-01 00:29:00,4,0.99,15.406,0
2026-01-01 00:30:00,4,0.987,15.314,0
2026-01-01 00:31:00,4,0.953,15.221,0
2026-01-01 00:32:00,4,0.968,15.054,0
2026-01-01 00:33:00,4,0.978,15.394,0
2026-01-01 00:34:00,4,0.983,15.398,0
2026-01-01 00:35:00,4,0.971,15.177,0
2026-01-01 00:36:00,4,0.978,15.281,0
2026-01-01 00:37:00,4,0.982,15.065,0
2026-01-01 00:38:00,4,0.975,15.381,0
2026-01-01 00:39:00,4,0.985,35.961,0
2026-01-01 00:40:00,4,0.984,15.404,0
2026-01-01 00:41:00,4,0.964,15.212,0
2026-01-01 00:42:00,4,0.96,15.335,0
2026-01-01 00:43:00,4,0.999,15.476,0
2026-01-01 00:44:00,4,0.965,15.016,0
2026-01-01 00:45:00,4,0.997,15.111,0
2026-01-01 00:46:00,4,0.965,15.157,0
2026-01-01 00:47:00,4,0.962,15.223,0
2026-01-01 00:48:00,4,0.996,15.409,0
2026-01-01 00:49:00,4,0.973,15.453,0
2026-01-01 00:50:00,4,0.965,15.44,0
2026-01-01 00:51:00,4,0.991,15.287,0
2026-01-01 00:52:00,4,0.956,15.348,0
2026-01-01 00:53:00,4,0.99,15.315,0
2026-01-01 00:54:00,4,0.987,15.173,0
2026-01-01 00:55:00,4,0.952,15.011,0
2026-01-01 00:56:00,4,0.962,15.364,0
2026-01-01 00:57:00,4,0.968,15.293,0
2026-01-01 00:58:00,4,0.98,26.199,0
2026-01-01 00:59:00,4,0.951,15.158,0
2026-01-01 01:00:00,4,0.968,15.336,0
2026-01-01 01:01:00,4,0.969,15.161,0
2026-01-01 01:02:00,4,0.987,15.44,0
2026-01-01 01:03:00,4,0.959,15.426,0
2026-01-01 01:04:00,4,0.957,15.345,0
2026-01-01 01:05:00,4,0.971,15.161,0
2026-01-01 01:06:00,4,0.966,15.133,0
2026-01-01 01:07:00,4,0.964,15.017,0
2026-01-01 01:08:00,4,0.988,15.315,0
2026-01-01 01:09:00,4,0.986,15.106,0
2026-01-01 01:10:00,4,0.99,15.03,0
2026-01-01 01:11:00,4,0.952,15.027,0
2026-01-01 01:12:00,4,0.984,15.014,0
2026-01-01 01:13:00,4,0.976,15.312,0
2026-01-01 01:14:00,4,0.967,15.409,0
2026-01-01 01:15:00,4,0.958,15.104,0
2026-01-01 01:16:00,4,0.951,15.417,0
2026-01-01 01:17:00,4,0.998,15.442,0
2026-01-01 01:18:00,4,0.986,35.198,0
2026-01-01 01:19:00,4,0.971,15.124,0
2026-01-01 01:20:00,4,0.96,15.174,0
2026-01-01 01:21:00,4,0.973,15.294,0
2026-01-01 01:22:00,4,0.999,15.219,0
2026-01-01 01:23:00,4,0.978,15.308,0
2026-01-01 01:24:00,4,0.99,15.069,0
2026-01-01 01:25:00,4,0.962,15.427,0
2026-01-01 01:26:00,4,0.963,15.356,0
2026-01-01 01:27:00,4,0.994,15.024,0
2026-01-01 01:28:00,4,0.984,15.189,0
2026-01-01 01:29:00,4,0.965,15.101,0
2026-01-01 01:30:00,4,0.954,15.125,0
2026-01-01 01:31:00,4,0.959,15.472,0
2026-01-01 01:32:00,4,0.962,15.148,0
2026-01-01 01:33:00,4,0.963,15.077,0
2026-01-01 01:34:00,4,0.984,15.181,0
